PLAYER,TEAM,YEAR,GP,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV
Terrell Brandon,MIN,2000,78,36.2,16.0,6.6,14.5,0.4,1.2,2.5,2.9,0.8,3.1,7.5,2.1,0.3,2.0
Mike Bibby,VAN,2000,82,38.9,15.9,6.4,14.1,1.3,3.5,1.7,2.3,0.6,3.1,8.4,1.3,0.1,3.0
Darrell Armstrong,ORL,2000,75,36.9,15.9,5.5,13.4,1.9,5.4,2.9,3.3,1.3,3.3,7.0,1.8,0.2,2.7
Andre Miller,CLE,2000,82,34.7,15.8,5.5,12.2,0.2,0.8,4.6,5.5,1.1,3.2,8.0,1.5,0.3,3.2
Steve Nash,DAL,2000,70,34.1,15.6,5.5,11.3,1.3,3.1,3.3,3.7,0.7,2.5,7.3,1.0,0.1,2.9
Derek Anderson,SAS,2000,82,34.9,15.5,5.0,12.1,1.2,3.1,4.2,4.9,0.9,3.5,3.7,1.5,0.2,2.0
Brian Grant,MIA,2000,82,33.8,15.2,5.9,12.3,0.0,0.0,3.4,4.3,2.6,6.1,1.2,0.7,0.9,2.1
Tim Hardaway,MIA,2000,77,33.9,14.9,5.3,13.5,2.5,6.7,1.9,2.4,0.3,2.3,6.3,1.2,0.1,2.5
Rashard Lewis,SEA,2000,78,34.9,14.8,5.5,11.4,1.6,3.7,2.3,2.7,1.8,5.1,1.6,1.2,0.6,1.7
David Robinson,SAS,2000,80,29.6,14.4,5.0,10.3,0.0,0.0,4.4,5.9,2.6,6.0,1.5,1.0,2.5,1.5
Wally Szczerbiak,MIN,2000,82,34.8,14.0,5.7,11.2,0.3,0.9,2.2,2.5,1.6,3.8,3.2,0.7,0.4,1.7
Baron Davis,CHH,2000,82,38.9,13.8,5.0,11.7,1.0,3.3,2.8,4.1,1.6,3.4,7.3,2.1,0.4,2.8
Antonio Davis,TOR,2000,78,35.0,13.7,4.8,11.1,0.0,0.0,4.1,5.4,3.5,6.6,1.4,0.3,1.9,1.7
Steven Smith,POR,2000,81,31.4,13.6,4.4,9.7,1.0,2.8,3.8,4.3,1.1,2.3,2.6,0.6,0.3,1.7
Donyell Marshall,UTA,2000,81,28.7,13.6,5.3,10.5,0.5,1.6,2.5,3.4,2.1,4.9,1.6,1.0,1.0,1.6
Elden Campbell,CHH,2000,78,30.0,13.1,4.7,10.7,0.0,0.1,3.7,5.2,2.0,5.8,1.3,0.8,1.8,1.8
Damon Stoudamire,POR,2000,82,32.4,13.0,5.0,11.4,1.0,2.7,2.1,2.5,0.8,2.9,5.7,1.3,0.1,2.3
Ruben Patterson,SEA,2000,76,27.1,13.0,4.9,9.9,0.0,0.5,3.2,4.8,2.4,2.6,2.1,1.4,0.6,2.0
Raef LaFrentz,DEN,2000,78,31.5,12.9,5.0,10.4,0.7,1.8,2.3,3.4,2.2,5.6,1.4,0.5,2.6,1.2
Jeff McInnis,LAC,2000,81,35.0,12.9,5.3,11.5,0.6,1.8,1.6,2.0,0.5,2.2,5.5,0.9,0.1,1.4
Jermaine O'Neal,IND,2000,81,32.6,12.9,5.0,10.7,0.0,0.1,2.9,4.8,3.1,6.7,1.2,0.6,2.8,2.0
Lamond Murray,CLE,2000,78,28.5,12.8,5.0,11.9,0.8,2.1,2.0,2.7,1.3,3.0,1.6,1.1,0.3,1.8
Bonzi Wells,POR,2000,75,26.6,12.7,5.2,9.7,0.2,0.7,2.1,3.2,1.6,3.3,2.8,1.3,0.3,2.3
Tim Thomas,MIL,2000,76,27.4,12.6,4.3,10.0,1.4,3.4,2.6,3.3,1.0,3.1,1.8,1.0,0.6,1.5
Lorenzen Wright,ATL,2000,71,28.0,12.4,5.1,11.4,0.0,0.0,2.2,3.0,2.5,5.0,1.2,0.6,0.9,1.8
Doug Christie,SAC,2000,81,36.3,12.3,3.8,9.7,1.2,3.1,3.5,3.9,1.2,3.2,3.6,2.3,0.6,1.9
Tony Delk,PHX,2000,82,27.9,12.3,4.7,11.3,0.7,2.0,2.3,2.9,0.9,2.3,2.0,0.9,0.2,1.2
Vin Baker,SEA,2000,76,28.0,12.2,4.6,10.8,0.0,0.2,3.1,4.2,2.4,3.3,1.2,0.5,1.0,2.1
Rodney Rogers,PHX,2000,82,26.6,12.2,4.6,10.7,0.7,2.3,2.3,3.0,1.1,3.2,2.2,1.2,0.6,1.9
Voshon Lenard,DEN,2000,80,29.1,12.2,4.2,10.6,1.8,4.8,1.9,2.4,0.6,2.3,2.4,0.8,0.2,1.3
Vlade Divac,SAC,2000,81,29.9,12.0,4.5,9.3,0.0,0.2,3.0,4.3,2.6,5.8,2.9,1.1,1.1,2.4
Chucky Atkins,DET,2000,81,29.2,12.0,4.7,11.8,1.5,4.2,1.1,1.6,0.3,1.8,4.1,0.8,0.1,1.8
Glen Rice,NYK,2000,75,29.5,12.0,4.4,10.0,1.1,2.8,2.1,2.4,0.8,3.3,1.2,0.5,0.2,1.3
Bryon Russell,UTA,2000,78,31.7,12.0,3.9,9.0,1.2,2.9,2.8,3.7,1.2,3.0,2.1,1.2,0.3,1.4
Metta World Peace,CHI,2000,76,31.1,11.9,4.3,10.7,0.6,1.9,2.8,3.7,0.8,3.1,3.0,2.0,0.6,2.1
Travis Best,IND,2000,77,31.9,11.9,4.5,10.2,0.5,1.3,2.4,2.9,0.5,2.4,6.1,1.4,0.1,1.6
Mike Miller,ORL,2000,82,29.1,11.9,4.5,10.3,1.8,4.4,1.1,1.6,0.8,3.2,1.7,0.6,0.2,1.2
Aaron McKie,PHI,2000,76,31.5,11.6,4.4,9.4,0.7,2.2,2.0,2.6,0.4,3.7,5.0,1.4,0.1,2.7
John Stockton,UTA,2000,82,29.2,11.5,4.0,7.9,0.7,1.6,2.8,3.4,0.7,2.1,8.7,1.6,0.3,2.5
Chris Gatling,CLE,2000,74,22.6,11.4,4.4,9.9,0.4,1.2,2.1,3.1,1.3,3.9,0.8,0.7,0.4,1.6
Clar. Weatherspoon,CLE,2000,82,33.8,11.3,4.2,8.4,0.0,0.0,2.8,3.5,2.7,7.0,1.3,1.0,1.3,1.4
Johnny Newman,NJN,2000,82,25.0,10.9,3.5,8.5,0.7,2.1,3.1,3.6,0.4,1.7,1.4,0.8,0.1,1.3
Eric Piatkowski,LAC,2000,81,26.5,10.6,3.6,8.3,1.5,3.7,2.0,2.2,0.7,2.3,1.2,0.6,0.2,0.9
Anthony Peeler,MIN,2000,75,28.3,10.5,4.1,9.8,1.3,3.4,1.0,1.2,0.6,2.0,2.6,1.2,0.2,1.4
Alan Henderson,ATL,2000,73,24.8,10.5,4.1,9.2,0.0,0.0,2.4,3.7,2.5,3.1,0.7,0.7,0.4,1.7
Kurt Thomas,NYK,2000,77,27.6,10.4,4.1,8.0,0.0,0.0,2.2,2.7,2.2,4.5,0.8,0.8,0.9,1.3
Aaron Williams,NJN,2000,82,28.5,10.2,3.6,7.9,0.0,0.0,3.0,3.8,2.6,4.6,1.1,0.7,1.4,1.6
Austin Croshere,IND,2000,81,23.1,10.1,3.4,8.7,0.9,2.6,2.5,2.9,1.5,3.3,1.1,0.4,0.6,1.7
Lindsey Hunter,MIL,2000,82,24.4,10.1,3.6,9.5,1.9,5.0,0.9,1.2,0.4,1.7,2.7,1.2,0.1,0.8
Dikembe Mutombo,PHI,2000,75,34.5,10.0,3.6,7.4,0.0,0.0,2.8,3.9,4.1,9.4,1.0,0.4,2.7,1.9
Alvin Williams,TOR,2000,82,29.2,9.8,4.0,9.4,0.4,1.3,1.3,1.8,0.6,2.0,5.0,1.5,0.3,1.3
Bryant Stith,BOS,2000,78,32.1,9.7,3.1,7.8,1.2,3.1,2.2,2.7,0.8,2.8,2.2,1.2,0.2,1.2
Patrick Ewing,SEA,2000,79,26.7,9.6,3.7,8.7,0.0,0.0,2.2,3.2,1.6,5.8,1.2,0.7,1.2,1.9
Rick Fox,LAL,2000,82,27.9,9.6,3.5,7.9,1.4,3.7,1.2,1.5,1.0,3.0,3.2,0.9,0.4,1.7
George McCloud,DEN,2000,76,26.4,9.6,3.3,8.6,1.0,3.1,2.0,2.4,0.7,2.2,3.7,0.7,0.4,1.5
Charles Oakley,TOR,2000,78,35.5,9.6,3.9,10.1,0.1,0.6,1.6,1.9,1.8,7.7,3.4,1.0,0.6,1.8
Tyrone Hill,PHI,2000,76,31.1,9.6,3.7,7.7,0.0,0.0,2.3,3.6,3.1,5.9,0.6,0.5,0.4,1.7
Marcus Fizer,CHI,2000,72,21.9,9.5,3.9,9.0,0.1,0.5,1.6,2.2,1.1,3.3,1.1,0.4,0.3,1.7
Antonio Daniels,SAS,2000,79,26.1,9.4,3.5,7.4,0.9,2.3,1.5,2.0,0.3,1.7,3.8,0.8,0.2,1.4
LaPhonso Ellis,MIN,2000,82,23.8,9.4,3.6,7.8,0.1,0.3,2.1,2.6,2.4,3.6,1.1,0.8,0.9,1.3
Darius Miles,LAC,2000,81,26.3,9.4,3.9,7.8,0.0,0.2,1.5,2.9,1.6,4.3,1.2,0.6,1.5,1.8
Lucious Harris,NJN,2000,73,28.4,9.4,3.6,8.5,0.6,1.8,1.5,1.9,1.0,3.0,1.8,1.0,0.2,0.9
Jason Williams,SAC,2000,77,29.7,9.4,3.6,9.0,1.3,4.0,0.8,1.0,0.2,2.2,5.4,1.2,0.1,2.1
Morris Peterson,TOR,2000,80,22.6,9.3,3.6,8.4,0.8,2.1,1.3,1.8,1.4,1.8,1.3,0.8,0.3,1.0
Christian Laettner,WAS,2000,78,21.3,9.3,3.6,7.1,0.1,0.2,2.2,2.6,1.5,3.2,1.6,0.9,0.6,1.8
John Starks,UTA,2000,75,28.3,9.3,3.6,9.1,0.9,2.4,1.2,1.5,0.4,1.7,2.4,1.0,0.1,1.3
Chauncey Billups,MIN,2000,77,23.2,9.3,3.2,7.6,0.9,2.5,1.9,2.2,0.4,1.6,3.4,0.7,0.1,1.4
Kevin Willis,DEN,2000,78,23.5,9.3,3.9,8.8,0.0,0.1,1.4,1.9,2.3,4.6,0.6,0.7,0.7,1.1
Fred Hoiberg,CHI,2000,74,30.4,9.1,2.9,6.7,1.4,3.4,1.8,2.1,0.3,3.9,3.6,1.3,0.2,1.0
Howard Eisley,DAL,2000,82,29.6,9.0,3.2,8.2,1.3,3.3,1.3,1.5,0.3,2.1,3.6,1.2,0.1,1.2
Othella Harrington,NYK,2000,74,24.5,9.0,3.3,6.9,0.0,0.0,2.3,3.0,1.9,3.4,0.8,0.5,0.6,2.0
Shandon Anderson,HOU,2000,82,29.2,8.7,3.2,7.2,0.6,2.1,1.7,2.3,0.9,3.2,2.3,1.0,0.5,1.6
Michael Olowokandi,LAC,2000,82,25.9,8.5,3.8,8.6,0.0,0.0,1.0,1.9,2.0,4.4,0.6,0.4,1.3,2.1
Horace Grant,LAL,2000,77,31.0,8.5,3.4,7.4,0.0,0.0,1.7,2.2,2.9,4.2,1.6,0.7,0.8,0.6
P.J. Brown,CHH,2000,80,35.1,8.5,3.1,7.0,0.0,0.1,2.2,2.6,3.2,6.1,1.6,1.0,1.2,1.4
George Lynch,PHI,2000,82,32.3,8.4,3.3,7.5,0.2,0.7,1.5,2.1,2.4,4.8,1.7,1.2,0.4,1.3
Walt Williams,HOU,2000,72,22.0,8.3,2.8,7.1,1.4,3.4,1.3,1.8,0.4,3.0,1.3,0.4,0.4,1.0
Bryant Reeves,VAN,2000,75,24.4,8.3,3.4,7.4,0.0,0.1,1.5,1.9,1.8,4.3,1.1,0.6,0.7,1.2
Pat Garrity,ORL,2000,76,20.8,8.3,2.9,7.6,1.3,2.9,1.1,1.3,0.7,2.1,0.7,0.5,0.2,0.9
Stephen Jackson,NJN,2000,77,21.6,8.2,3.2,7.4,0.7,2.0,1.3,1.8,0.5,2.2,1.8,1.1,0.2,1.7
James Posey,DEN,2000,82,27.5,8.1,3.0,7.2,0.8,2.6,1.4,1.7,1.5,3.7,2.0,1.1,0.5,1.2
Quentin Richardson,LAC,2000,76,17.9,8.1,3.1,6.9,0.7,2.0,1.3,2.1,1.4,2.0,0.8,0.6,0.1,0.8
John Amaechi,ORL,2000,82,20.9,7.9,2.9,7.2,0.0,0.1,2.1,3.4,0.9,2.3,0.9,0.3,0.4,1.5
Keon Clark,TOR,2000,81,21.2,7.9,3.1,6.4,0.0,0.0,1.8,3.0,1.7,3.7,0.9,0.4,1.9,1.1
Felipe Lopez,MIN,2000,70,22.4,7.9,3.0,6.8,0.3,0.7,1.6,2.2,0.8,2.6,1.5,0.9,0.4,1.2
Mark Jackson,NYK,2000,83,31.2,7.6,2.9,7.0,0.8,2.5,0.9,1.1,0.8,2.9,8.0,1.0,0.1,2.1
Bruce Bowen,MIA,2000,82,32.7,7.6,2.6,7.1,1.3,3.7,1.2,2.0,0.5,2.4,1.6,1.0,0.6,0.9
Al Harrington,IND,2000,78,24.3,7.5,3.1,7.0,0.0,0.1,1.3,2.0,1.5,3.4,1.7,0.8,0.2,1.9
Vitaly Potapenko,BOS,2000,82,23.2,7.5,3.0,6.4,0.0,0.0,1.4,1.9,2.5,3.5,0.8,0.6,0.3,1.3
Danny Manning,UTA,2000,82,15.9,7.4,3.0,6.1,0.1,0.3,1.2,1.7,0.8,1.8,1.1,0.6,0.4,1.2
Bo Outlaw,ORL,2000,80,31.7,7.3,2.8,4.6,0.0,0.0,1.6,2.8,2.6,5.1,2.8,1.3,1.7,1.8
Bobby Jackson,SAC,2000,79,20.9,7.2,2.9,6.7,0.5,1.3,0.8,1.1,0.9,2.2,2.0,1.1,0.1,1.3
Terry Porter,SAS,2000,80,21.0,7.2,2.5,5.5,1.1,2.6,1.2,1.5,0.3,2.2,3.1,0.7,0.1,1.3
Dale Davis,POR,2000,81,26.7,7.2,3.0,6.0,0.0,0.0,1.2,1.9,2.9,4.6,1.3,0.5,0.9,0.8
Jason Caffey,MIL,2000,70,20.9,7.1,2.6,5.2,0.0,0.0,2.0,3.0,1.9,3.1,0.8,0.5,0.4,1.1
Kenny Thomas,HOU,2000,74,24.6,7.1,2.8,6.3,0.3,1.2,1.2,1.7,1.6,4.0,1.0,0.5,0.6,1.6
Shawn Bradley,DAL,2000,82,24.4,7.1,2.7,5.5,0.0,0.1,1.7,2.2,2.0,5.5,0.5,0.4,2.8,1.1
Moochie Norris,HOU,2000,82,20.2,6.6,2.2,5.0,0.3,1.1,1.8,2.4,0.5,1.9,3.5,0.8,0.0,1.3
Eric Williams,BOS,2000,81,21.5,6.6,2.0,5.5,0.6,1.7,2.0,2.9,0.8,1.8,1.4,0.8,0.2,0.9
Damon Jones,VAN,2000,71,19.9,6.5,2.4,5.9,1.2,3.3,0.5,0.7,0.2,1.5,3.2,0.5,0.0,1.1
Robert Pack,DEN,2000,74,17.0,6.5,2.4,5.8,0.2,0.4,1.4,1.9,0.4,1.4,4.0,0.9,0.0,1.8
Scot Pollard,SAC,2000,77,21.5,6.5,2.4,5.1,0.0,0.0,1.7,2.2,2.2,3.8,0.6,0.6,1.3,0.9
Ben Wallace,DET,2000,80,34.5,6.4,2.7,5.5,0.0,0.1,1.0,3.0,3.8,9.4,1.5,1.3,2.3,1.5
Anthony Carter,MIA,2000,72,22.6,6.4,2.7,6.7,0.1,0.6,0.9,1.4,0.6,1.9,3.7,1.0,0.1,1.7
Michael Doleac,ORL,2000,77,18.2,6.4,2.9,6.8,0.0,0.0,0.6,0.8,0.9,2.6,0.8,0.5,0.5,0.8
Jacque Vaughn,UTA,2000,82,19.8,6.1,2.1,4.8,0.4,1.0,1.6,2.0,0.2,1.6,3.9,0.6,0.0,1.6
Dell Curry,TOR,2000,71,13.5,6.0,2.3,5.4,0.9,2.0,0.6,0.7,0.2,1.0,1.1,0.4,0.1,0.5
Desmond Mason,SEA,2000,78,19.5,5.9,2.4,5.6,0.2,0.9,0.9,1.2,0.9,2.3,0.8,0.5,0.3,0.7
Keyon Dooling,LAC,2000,76,16.3,5.9,1.9,4.8,0.4,1.1,1.6,2.4,0.1,1.1,2.3,0.5,0.1,1.2
Robert Traylor,CLE,2000,70,17.3,5.7,2.3,4.6,0.0,0.0,1.1,2.0,1.8,2.5,0.9,0.7,1.1,1.4
Danny Ferry,SAS,2000,80,21.1,5.6,2.2,4.7,0.9,2.0,0.3,0.4,0.7,2.1,0.9,0.4,0.3,0.6
Sean Rooks,LAC,2000,82,18.9,5.4,2.1,4.8,0.0,0.0,1.3,1.7,1.1,2.6,0.9,0.4,0.8,0.9
Mateen Cleaves,DET,2000,78,16.3,5.4,2.1,5.1,0.1,0.2,1.2,1.8,0.3,1.4,2.7,0.6,0.0,1.8
Olden Polynice,UTA,2000,81,20.0,5.3,2.5,5.1,0.0,0.0,0.2,0.8,1.9,2.7,0.4,0.3,1.0,1.0
Hedo Turkoglu,SAC,2000,74,16.8,5.3,1.9,4.5,0.4,1.2,1.2,1.5,0.7,2.2,0.9,0.7,0.3,0.7
Brian Shaw,LAL,2000,80,22.9,5.3,2.1,5.1,0.5,1.7,0.6,0.8,0.6,3.2,3.2,0.6,0.3,1.2
Robert Horry,LAL,2000,79,20.1,5.2,1.9,4.8,0.7,2.0,0.7,1.1,1.2,2.6,1.6,0.7,0.7,1.0
DerMarr Johnson,ATL,2000,78,16.8,5.1,1.9,5.0,0.5,1.6,0.8,1.1,0.7,1.6,0.8,0.6,0.4,1.2
Monty Williams,ORL,2000,82,14.8,5.0,2.0,4.4,0.0,0.2,1.0,1.6,1.0,1.9,1.0,0.4,0.2,1.0
Stromile Swift,VAN,2000,80,16.4,4.9,1.9,4.2,0.0,0.1,1.1,1.8,1.4,2.2,0.4,0.8,1.0,0.8
Troy Hudson,ORL,2000,75,13.4,4.8,1.7,5.0,0.3,1.5,1.1,1.4,0.5,0.9,2.2,0.5,0.0,1.2
Chris Childs,TOR,2000,77,24.1,4.7,1.8,4.4,0.4,1.4,0.8,0.9,0.3,2.3,4.6,0.8,0.2,2.0
Jamaal Magloire,CHH,2000,74,14.8,4.6,1.6,3.7,0.0,0.0,1.3,2.0,1.4,2.6,0.4,0.2,1.1,0.8
Jelani McCoy,SEA,2000,70,16.3,4.5,2.0,3.8,0.0,0.0,0.6,1.3,1.3,2.3,0.8,0.3,0.7,1.1
Rasho Nesterovic,MIN,2000,73,16.9,4.5,2.0,4.4,0.0,0.0,0.5,0.9,1.4,2.6,0.6,0.3,0.9,0.8
Greg Ostertag,UTA,2000,81,18.4,4.5,1.7,3.5,0.0,0.0,1.0,1.9,2.0,3.1,0.3,0.3,1.8,0.8
A.C. Green,MIA,2000,82,17.2,4.5,1.8,4.0,0.0,0.1,1.0,1.4,1.3,2.5,0.5,0.4,0.1,0.5
Mikki Moore,DET,2000,81,14.2,4.4,1.6,3.3,0.0,0.0,1.2,1.6,1.5,2.4,0.4,0.3,0.8,0.9
Hanno Mottola,ATL,2000,73,13.5,4.4,1.7,3.8,0.0,0.0,1.0,1.2,0.7,1.7,0.3,0.2,0.1,0.9
Michael Smith,WAS,2000,79,20.4,3.8,1.3,2.8,0.0,0.0,1.1,1.9,2.2,4.9,1.3,0.7,0.5,0.8
Jeff Foster,IND,2000,71,16.2,3.5,1.4,3.0,0.0,0.1,0.7,1.3,2.0,3.5,0.5,0.5,0.4,0.7
Sam Mitchell,MIN,2000,82,12.0,3.5,1.4,3.5,0.1,0.5,0.5,0.7,0.3,1.2,0.7,0.3,0.1,0.4
Evan Eschmeyer,NJN,2000,74,18.0,3.4,1.2,2.7,0.0,0.0,0.9,1.4,1.8,3.1,0.5,0.6,0.8,0.7
Ervin Johnson,MIL,2000,82,24.2,3.2,1.3,2.4,0.0,0.0,0.6,1.1,2.5,5.0,0.5,0.5,1.2,0.6
Kevin Ollie,PHI,2000,70,13.2,3.1,1.1,2.7,0.0,0.0,0.9,1.3,0.2,1.1,2.1,0.4,0.0,0.7
Dean Garrett,MIN,2000,70,11.9,2.5,1.1,2.2,0.0,0.0,0.4,0.6,0.9,2.2,0.3,0.4,0.7,0.4
Mark Madsen,LAL,2000,70,9.2,2.0,0.8,1.6,0.0,0.0,0.4,0.5,1.1,1.1,0.3,0.1,0.1,0.4
Allen Iverson,PHI,2001,60,43.7,31.4,11.1,27.8,1.3,4.5,7.9,9.8,0.7,3.8,5.5,2.8,0.2,4.0
Shaquille O'Neal,LAL,2001,67,36.1,27.2,10.6,18.3,0.0,0.0,5.9,10.7,3.5,7.2,3.0,0.6,2.0,2.6
Paul Pierce,BOS,2001,82,40.2,26.1,8.6,19.5,2.6,6.3,6.3,7.8,1.0,5.9,3.2,1.9,1.0,2.9
Tracy McGrady,ORL,2001,76,38.3,25.6,9.4,20.9,1.4,3.7,5.5,7.3,2.0,5.9,5.3,1.6,1.0,2.5
Tim Duncan,SAS,2001,82,40.6,25.5,9.3,18.3,0.0,0.1,6.8,8.5,3.3,9.4,3.7,0.7,2.5,3.2
Kobe Bryant,LAL,2001,80,38.3,25.2,9.4,20.0,0.4,1.7,6.1,7.4,1.4,4.1,5.5,1.5,0.4,2.8
Vince Carter,TOR,2001,60,39.8,24.7,9.3,21.8,2.0,5.2,4.1,5.1,2.3,2.9,4.0,1.6,0.7,2.6
Dirk Nowitzki,DAL,2001,76,38.0,23.4,7.9,16.6,1.8,4.6,5.8,6.8,1.6,8.4,2.4,1.1,1.0,1.9
Karl Malone,UTA,2001,80,38.0,22.4,7.9,17.5,0.1,0.3,6.4,8.0,1.8,6.8,4.3,1.9,0.7,3.3
